,url_link,id,content,article_id,
1,https://www.ptt.cc//bbs/HatePolitics/M.1605331040.A.E2D.html,s81048112,: 幹嘛罵817柯粉,1,
2,https://www.ptt.cc//bbs/HatePolitics/M.1605360675.A.B2F.html,elainakuo,: 國民黨可以不要把藍白紅 搞爛嗎,1,
3,https://www.ptt.cc//bbs/HatePolitics/M.1605176608.A.A4B.html,elainakuo,: 97%用萊劑飼養的牛進口 驗不太到 不知道萊豬有什麼問,1,
4,https://www.ptt.cc//bbs/HatePolitics/M.1605176608.A.A4B.html,elainakuo,: 題,2,
5,https://www.ptt.cc//bbs/HatePolitics/M.1605224091.A.402.html,geordie,: 本來打算要這樣的吧？,1,
6,https://www.ptt.cc//bbs/HatePolitics/M.1605224091.A.402.html,elainakuo,: AIT：美國牛97%飼養時有參萊克多巴胺 只是變成肉品前,2,
7,https://www.ptt.cc//bbs/HatePolitics/M.1605224091.A.402.html,elainakuo,: 兩天用 到消費者手上 殘留值已變低 不代表沒有,3,
8,https://www.ptt.cc//bbs/HatePolitics/M.1605224091.A.402.html,elainakuo,: *前兩天不用,4,
9,https://www.ptt.cc//bbs/HatePolitics/M.1605226447.A.D20.html,elainakuo,: 有利人口健康結構 應該引進武漢肺炎 讓老人死掉,1,
10,https://www.ptt.cc//bbs/HatePolitics/M.1605227604.A.2FC.html,elainakuo,: 未檢出跟零檢出 不同,1,
11,https://www.ptt.cc//bbs/HatePolitics/M.1605233652.A.C0B.html,elainakuo,: 這次的做法不錯 在對的場合建言,1,
12,https://www.ptt.cc//bbs/HatePolitics/M.1605233652.A.C0B.html,madaniel,": 就說現在所謂4%仔對挺柯沒興趣,柯屁是寄生來打DPP低~~~",2,
13,https://www.ptt.cc//bbs/HatePolitics/M.1605234538.A.CBB.html,elainakuo,: AIT:  97%美牛的飼料添加物有萊克多巴胺,1,
14,https://www.ptt.cc//bbs/HatePolitics/M.1605234538.A.CBB.html,elainakuo,: 台灣現在要定義 未檢出萊克多巴胺的 都叫美牛 我不反,2,
15,https://www.ptt.cc//bbs/HatePolitics/M.1605234538.A.CBB.html,elainakuo,: 對,3,
16,https://www.ptt.cc//bbs/HatePolitics/M.1605235716.A.937.html,elainakuo,: 台北市我相信可以率先來做,1,
17,https://www.ptt.cc//bbs/HatePolitics/M.1605235716.A.937.html,elainakuo,: 飼料是有添加啦 但變肉品驗不出來也可以說沒有啦,2,
18,https://www.ptt.cc//bbs/HatePolitics/M.1605238513.A.CEF.html,s81048112,: 檢驗標準以下就沒事了 萊豬比照萊牛摟,1,
19,https://www.ptt.cc//bbs/HatePolitics/M.1605239246.A.ED4.html,elainakuo,: 地價稅何時地方調到上限 中央再修都來得及,1,
20,https://www.ptt.cc//bbs/HatePolitics/M.1605239246.A.ED4.html,madaniel,: 挖~原來台灣財團都是跟綠共牽扯不清?當狗黨塑膠?,2,
21,https://www.ptt.cc//bbs/HatePolitics/M.1605239246.A.ED4.html,madaniel,: 這種發言我看事共奴五毛支那賤畜偽4%吧wwww,3,
22,https://www.ptt.cc//bbs/HatePolitics/M.1605243878.A.133.html,madaniel,": 影片就單純講屠宰不人道,我看過發過了,護航狗黨的看過?",1,
23,https://www.ptt.cc//bbs/HatePolitics/M.1605243878.A.133.html,madaniel,: 別在那笑到腦死了?快去看阿?林北貼全文問哪裡有瘦肉精ㄟ,2,
24,https://www.ptt.cc//bbs/HatePolitics/M.1605275856.A.F36.html,rtyujlk,: https://i.imgur.com/EmEHP2G.jpg,1,
25,https://www.ptt.cc//bbs/HatePolitics/M.1605276671.A.52B.html,elainakuo,: 知道自己要被殺 不能發抖膩,1,
26,https://www.ptt.cc//bbs/HatePolitics/M.1605059080.A.517.html,elainakuo,: 加豬最便宜啊 進口的比美豬多,1,
27,https://www.ptt.cc//bbs/HatePolitics/M.1605059080.A.517.html,elainakuo,: 台灣豬的優勢是溫體豬跟冷藏豬,2,
28,https://www.ptt.cc//bbs/HatePolitics/M.1605059080.A.517.html,elainakuo,: 冷凍豬就拼價格,3,
29,https://www.ptt.cc//bbs/HatePolitics/M.1605072830.A.D8F.html,win8719,: 跟你說一下現在台灣用的標準是世衛定出來的..,1,
30,https://www.ptt.cc//bbs/HatePolitics/M.1605072830.A.D8F.html,madaniel,: 樓上你對4%仔們要求太多了~~~,2,
31,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 我賭民進黨那群軟蛋不敢關啦幹，每次都軟趴趴,1,狂罵國民黨
32,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 林北順便等著看共奴五毛4%支那賤畜一家親會不會來哭造謠,2,
33,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 噴屎跟澄清一樣爛，馬的垃圾,3,
34,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 我想說，都知道造謠垃圾了還在哈哈一樣爛，到底家庭怎麼,4,
35,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 教出來的,5,
36,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 柯屁淫謠黨多吧?,6,
37,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 哎呀~狗黨公然造謠搞是時哭民進黨果然非常不意外~,7,
38,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 關關關~民進黨不關你去抓來關~,8,
39,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,": 我個人感覺的問號,感覺就是柯屁造謠最多~",9,
40,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 你看~又吃屎崩潰了~剛說而已,10,
41,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 你是有統計數據放出來聞香嗎?不然就是又一次不准罵,11,
42,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 垃圾造謠詐騙狗的崩潰,12,
43,https://www.ptt.cc//bbs/HatePolitics/M.1605082748.A.CC6.html,madaniel,: 狗黨,13,
44,https://www.ptt.cc//bbs/HatePolitics/M.1605153146.A.99C.html,madaniel,: 阿柯屁說的沒錯阿，牠都帶頭亂不是底下亂咩~~,1,
45,https://www.ptt.cc//bbs/HatePolitics/M.1605153146.A.99C.html,madaniel,: 柯屁蠢也不是新聞了,2,
46,https://www.ptt.cc//bbs/HatePolitics/M.1605153146.A.99C.html,elainakuo,: 萊牛怎麼做萊豬怎麼做啊 只是市場差別很大,3,
47,https://www.ptt.cc//bbs/HatePolitics/M.1605158033.A.11C.html,win8719,: 還好我沒罵過萊牛,1,
48,https://www.ptt.cc//bbs/HatePolitics/M.1605158033.A.11C.html,madaniel,: 現在反萊豬但絕口不提萊牛的大概覺得萊牛很好吃，吃了強,2,
49,https://www.ptt.cc//bbs/HatePolitics/M.1605158033.A.11C.html,madaniel,: 身健體吧wwww,3,
50,https://www.ptt.cc//bbs/HatePolitics/M.1605158033.A.11C.html,meredith001,: 萊牛好吃,4,
51,https://www.ptt.cc//bbs/HatePolitics/M.1605158033.A.11C.html,win8719,: 其實我比較好奇的是反萊牛的人等進來之後在做啥?,5,
